question1,question2,label
" Có các phương pháp nào điều trị bệnh Ung thư vú ?","Làm thế nào để phòng tránh bệnh ung thư dạ dày ?",0
"Sử dụng thuốc Xonatrix như thế nào cho hiệu quả ?","Vô sinh có phải hậu quả của bệnh Tinh hoàn ẩn không ?",0
"Ung thư vòm họng là gì ?","Ngoài bú sữa mẹ cần bổ sung thêm cho trẻ những thực phẩm gì ?",0
"Khi mang thai thì nhiệt độ cơ thể có tăng không ?","Khi nào thì cặp vợ chồng cần lựa chọn phương pháp thụ tinh trong ống nghiệm ?",0
"Đối tượng nào hay mắc bệnh ho gà ?","Triệu chứng của bệnh đau thần kinh tọa là gì ?",0
"Ý nghĩa của việc có bạch cầu trong nước tiểu là gì ?","Bệnh sỏi mật có thể gây ra những biến chứng gì ?",0
"Uống nước dừa có giảm cân được không ?","Sữa bột hết hạn có sử dụng để đắp mặt được không ?",0
"Người mắc bệnh viêm đại tràng nên ăn uống như thế nào ?","Mục đích chủ yếu của việc điều trị căn bệnh tăng cholesterol là gì ?",0
"Làm sao để không bị gàu vào mùa đông ?","Bệnh hẹp bao quy đầu có nguy hiểm không ?",0
"Nên chăm sóc da vào buổi sáng hay buổi tối ?","I ốt cần thiết như thế nào đối với quá trình thai nghén ?",0
"Triệu chứng của bệnh hen phế quản biểu hiện như thế nào ?","Rong biển có những loại nào ?",0
"Biểu hiện bệnh U sọ hầu phụ thuộc những yếu tố gì ?","Cơ chế hoạt động của nhóm kháng sinh aminoglycosid là gì ?",0
"Biểu hiện của răng sữa mọc lệch là gì ?","Hậu quả của việc phổi tích tụ nhiều chất độc là gì ?",0
"Khi nào cần cho trẻ bú mẹ ?","Việc ngồi sai tư thế có ảnh hưởng đến bà bầu không ?",0
"Kinh nguyệt kéo dài là dấu hiệu của bệnh lý gì ?","U sọ hầu là gì ?",0
"Có những cách nào giúp bạn đi ngủ nhanh ?","Cân nặng của thai nhi bị ảnh hưởng bởi những yếu tố nào ?",0
"Thận yếu ở phụ nữ biểu hiện như thế nào?","Ung thư vòm họng giai đoạn cuối biểu hiện như thế nào?",0
"Triệu chứng của bệnh Ung thư tuyến giáp di căn hạch cổ biểu hiện như thế nào ?","Hành củ có tác dụng chống gàu không ?",0
"Nên chuẩn bị gì trước khi đi tàu xe để tránh say xe ?","Nên sử dụng loại nước muối nào để súc miệng ?",0
"Omega-3 có phải các viên dầu cá không ?","Chậm kinh là dấu hiệu của những bệnh gì ?",0
"Làm sao để biết hơi thở của mình có mùi  hay không ?","Các thành phần trong thuốc chữa hăm tã là gì ?",0
"Những cơn nấc cụt có thể cảnh báo điều gì ?","Hút thuốc lá và uống chất kích thích có tăng nguy cơ bị ung thư không ?",0
"Có các phương pháp nào điều trị mụn cóc ?","Bướu cổ là bệnh lý gì ?",0
"Nhiễm khuẩn tiết niệu có phải biến chứng của bệnh sỏi thận không ?","Cần làm gì để giảm bớt lo lắng khi bị U não ?",0
"Quan hệ tình dục nhiều có giúp tăng khả năng thụ thai không ?","U não ở trẻ em có gây đau đầu không ?",0
"Những cơ quan nào bị tổn hại do khói thuốc lá ?","Đi nhà nghỉ khách sạn có dễ mắc các bệnh phụ khoa không ?",0
"Người cao tuổi có nên đi khám định kỳ để kiểm tra độ bền của xương không ?","Bệnh gan to biểu hiện như thế nào ?",0
"Trong chuối có các thành phần dinh dưỡng gì ?","Dấu hiệu tinh trùng yếu là gì?",0
"Bí đao chứa các thành phần dinh dưỡng gì ?","Phương pháp nhận biết dấu hiệu đột quỵ là gì ?",0
"Những người nào dễ có nguy cơ bị vô sinh ?","Tuổi dậy thì là gì ?",0
"Bệnh ung thư tuyến tiền liệt có di căn được không ?","Nguyên nhân gây ra dị ứng da là gì ?",0
"Các xoang bị viêm gồm những xoang gì ?","Kinh non là gì ?",0
"Nguyên nhân của bệnh tiết mồ hôi tay chân là gì ?","Không nên chọn những loại vitamin tổng hợp nào ?",0
"Điều trị u sọ hầu có đơn giản không ?","Nắng và gió ảnh hưởng như thế nào đến trẻ ?",0
"Nhóm máu O có đặc điểm gì ?","Nguyên do dẫn tới phong trào anti vaccine là gì ?",0
"Các bài thuốc dân gian nào giúp điều trị viêm mũi dị ứng ?","Phẫu thuật điều trị u sọ hầu tiến hành như thế nào ?",0
"Những tác hại do thiếu canxi là gì ?","Điều trị trầm cảm cuối thai kỳ như thế nào ?",0
"Ăn thức ăn đường phố nhiều có bị ung thư không ?","Có các loại carbohydrate nào ?",0
"Ung thư vú có liên quan đến yếu tố gia đình không ?","Tác dụng của rong biển là gì ?",0
"Bà bầu nên ăn uống như thế nào trong ngày lễ ?","Đèn sưởi hồng ngoại là gì ?",0
"Mang thai ngoài tử cung là hiện tượng gì ?","Chụp tử cung vòi trứng là phương pháp gì ?",0
"Để chẩn đoán bệnh Ung thư biểu mô tế bào gan cần làm những gì ?","Làm sao để điều trị nấm ngứa vùng kín ?",0
"Làm sao để chẩn đoán sớm và điều trị bệnh Lupus ban đỏ hệ thống ?","Trước ngày phẫu thuật người bệnh có cần tham khảo ý kiến của nhân viên y tế không ?",0
"Hẹp bao quy đầu là gì ?","Các yếu tố gây khởi phát cơn hen là gì ?",0
"Suy tim là bệnh lý gì ?","Triệu chứng của trẻ còi xương biểu hiện như thế nào ?",0
"Liều dùng của thuốc Smecta là bao nhiêu ?","Nên uống mật ong như thế nào cho đúng cách ?",0
"Có mấy loại cảm cúm ?","Nếu trẻ cảm thấy không thoải mái sau khi tiêm vaccine thì nên làm gì ?",0
"Nếu sau khi quan hệ có các triệu chứng bất thường như ra máu thì cần làm gì ?","Triệu chứng của Hạ đường huyết biểu hiện như thế nào ?",0
" Đau bụng thường ở vị trí nào trong bệnh viêm túi thừa đại tràng ?","Bệnh U màng não nên tham khảo ý kiên của các chuyên khoa nào ?",0
"Người bệnh tiểu đường nên ăn tinh bột như thế nào ?","Khi trẻ thắc mắc về cha thì người mẹ nên giải thích như thế nào ?",0
"Những vật dụng cần thiết mẹ bầu cần mang theo khi đi đẻ là gì ?","Bao nhiêu tuổi trở lên thì được hiến mô tạng ?",0
"Nguyên nhân khiến phụ nữ có thai bị ngứa bụng là gì ?","Những trường hợp nào nên kiêng quan hệ tình dục khi mang thai ?",0
"Người nhiễm HIV có đầy đủ các quyền và nghĩa vụ gì ?","Biến chứng của bệnh suy giãn tĩnh mạch là gì ?",0
"Bệnh sỏi đường mật ngoài gan biểu hiện như thế nào ?","Bệnh tay chân miệng ở trẻ là bệnh gì ?",0
"Nổi mề đay là gì ?","Biểu hiện bệnh ở giai đoạn nặng của ung thư tuyến tiền liệt là gì ?",0
"Dị tật ống trứng là gì ?","Làm sao để chế biến sinh tố hoa quả ?",0
"Tác dụng của sữa non đối với trẻ là gì ?","Làm thế nào để kiểm tra độ tươi của xoài ?",0
"Triệu chứng của bệnh zona thần kinh biểu hiện như thế nào ?","Cân nặng của thai nhi 26 tuần thường là bao nhiêu ?",0
"Phụ nữ mang thai có nên dùng caffein không ?","Làm thế nòa để chẩn đoán bệnh viêm gan nhiễm mỡ ?",0
"Tỷ lệ tử vong do ô nhiễm không khí là bao nhiêu ?","Cần lưu ý gì khi sử dụng những thực phẩm làm từ trứng ?",0
"Vaccine kết hợp có tốt không ?","Các triệu chứng của bệnh sa tạng chậu biểu hiện như thế nào ?",0
"Bệnh cao huyết áp là bệnh gì ?","Các bước tiến hành lấy máu xét nghiệm diễn ra như thế nào ?",0
